Ranking,Title,Release Year,IMDb Rating
N/A,The Shawshank Redemption,N/A,9.3
N/A,The Godfather,N/A,9.2
N/A,The Dark Knight,N/A,9.1
N/A,The Godfather Part II,N/A,9.0
N/A,12 Angry Men,N/A,9.0
N/A,The Lord of the Rings: The Return of the King,N/A,9.0
N/A,Schindler's List,N/A,9.0
N/A,The Lord of the Rings: The Fellowship of the Ring,N/A,8.9
N/A,Pulp Fiction,N/A,8.8
N/A,"The Good, the Bad and the Ugly",N/A,8.8
N/A,The Lord of the Rings: The Two Towers,N/A,8.8
N/A,Forrest Gump,N/A,8.8
N/A,Fight Club,N/A,8.8
N/A,Inception,N/A,8.8
N/A,Star Wars: Episode V - The Empire Strikes Back,N/A,8.7
N/A,The Matrix,N/A,8.7
N/A,GoodFellas,N/A,8.7
N/A,Interstellar,N/A,8.7
N/A,One Flew Over the Cuckoo's Nest,N/A,8.6
N/A,Seven,N/A,8.6
N/A,It's a Wonderful Life,N/A,8.6
N/A,The Silence of the Lambs,N/A,8.6
N/A,Saving Private Ryan,N/A,8.6
N/A,Seven Samurai,N/A,8.6
N/A,The Green Mile,N/A,8.6
N/A,City of God,N/A,8.6
N/A,Life Is Beautiful,N/A,8.6
N/A,Terminator 2: Judgment Day,N/A,8.6
N/A,Back to the Future,N/A,8.5
N/A,Star Wars: Episode IV - A New Hope,N/A,8.6
N/A,Spirited Away,N/A,8.6
N/A,Gladiator,N/A,8.5
N/A,The Pianist,N/A,8.5
N/A,Kill Bill: The Whole Bloody Affair,N/A,8.7
N/A,Parasite,N/A,8.5
N/A,Grave of the Fireflies,N/A,8.5
N/A,Psycho,N/A,8.5
N/A,The Lion King,N/A,8.5
N/A,Harakiri,N/A,8.6
N/A,The Departed,N/A,8.5
N/A,Whiplash,N/A,8.5
N/A,The Prestige,N/A,8.5
N/A,American History X,N/A,8.5
N/A,Léon: The Professional,N/A,8.5
N/A,Spider-Man: Across the Spider-Verse,N/A,8.5
N/A,Cinema Paradiso,N/A,8.5
N/A,Casablanca,N/A,8.5
N/A,The Intouchables,N/A,8.5
N/A,The Usual Suspects,N/A,8.5
N/A,Django Unchained,N/A,8.5
N/A,Alien,N/A,8.5
N/A,Rear Window,N/A,8.4
N/A,Modern Times,N/A,8.5
N/A,Once Upon a Time in the West,N/A,8.5
N/A,City Lights,N/A,8.5
N/A,Apocalypse Now,N/A,8.4
N/A,WALL·E,N/A,8.4
N/A,Memento,N/A,8.4
N/A,Dune: Part Two,N/A,8.4
N/A,Avengers: Infinity War,N/A,8.4
N/A,Raiders of the Lost Ark,N/A,8.4
N/A,The Lives of Others,N/A,8.4
N/A,Spider-Man: Into the Spider-Verse,N/A,8.4
N/A,Sunset Boulevard,N/A,8.4
N/A,Witness for the Prosecution,N/A,8.4
N/A,Paths of Glory,N/A,8.4
