Rank,Title,Year,Duration,Rating,Country
1,The Shawshank Redemption,N/A,N/A,9.3,United States
2,The Godfather,N/A,N/A,9.2,United States
3,The Dark Knight,N/A,N/A,9.1,"United States, United Kingdom"
4,The Godfather Part II,N/A,N/A,9.0,United States
5,12 Angry Men,N/A,N/A,9.0,United States
6,The Lord of the Rings: The Return of the King,N/A,N/A,9.0,"New Zealand, United States"
7,Schindler's List,N/A,N/A,9.0,United States
8,The Lord of the Rings: The Fellowship of the Ring,N/A,N/A,8.9,"New Zealand, United States"
9,Pulp Fiction,N/A,N/A,8.8,United States
10,"The Good, the Bad and the Ugly",N/A,N/A,8.8,"Italy, Spain, West Germany, United States"
